;;;;;;;;;;Utility;Runtime;SuppressionLimit;SuppressedRatio;Variance;VarianceWithoutSuppressed;Transformations
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.0;0.0;0.05;5;30162;9;0.5731509656;72.0;0.0;0.0;0.0;0.0;1.0
Adult;Loss;5-anonymity;RGR;0.001;0.0;0.05;5;30162;9;0.4675251354;435.0;0.0;0.0;3.16256E-5;3.16256E-5;2.0
Adult;Loss;5-anonymity;RGR;0.01;0.0;0.05;5;30162;9;0.3580623986;951.0;0.0;0.0;2.10542E-5;2.10542E-5;2.0
Adult;Loss;5-anonymity;RGR;0.025;0.0;0.05;5;30162;9;0.2832136632;1210.0;0.0;0.0;1.258681E-4;1.258681E-4;3.0
Adult;Loss;5-anonymity;RGR;0.05;0.0;0.05;5;30162;9;0.2186907481;1291.0;3.0;9.94629E-5;4.645817E-4;4.576283E-4;4.0
Adult;Loss;5-anonymity;RGR;0.075;0.0;0.05;5;30162;9;0.1920673585;1254.0;7.0;2.320801E-4;3.614598E-4;3.440782E-4;4.0
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;30162;9;0.1713235718;1298.0;2.0;6.63086E-5;8.024676E-4;7.978648E-4;5.0
Adult;Loss;5-anonymity;RGR;0.125;0.0;0.05;5;30162;9;0.1463806583;1292.0;4.0;1.326172E-4;6.978738E-4;6.880601E-4;5.0
Adult;Loss;5-anonymity;RGR;0.15;0.0;0.05;5;30162;9;0.1379700532;1093.0;1.0;3.31543E-5;0.0013067615;0.0013044719;6.0
Adult;Loss;5-anonymity;RGR;0.175;0.0;0.05;5;30162;9;0.1247014909;1153.0;4.0;1.326172E-4;7.259933E-4;7.162169E-4;6.0
Adult;Loss;5-anonymity;RGR;0.2;0.0;0.05;5;30162;9;0.1148707606;1179.0;1.0;3.31543E-5;9.930131E-4;9.905652E-4;7.0
Adult;Loss;5-anonymity;RGR;0.3;0.0;0.05;5;30162;9;0.0981007287;1180.0;3.0;9.94629E-5;0.0013189532;0.0013114476;8.0
Adult;Loss;5-anonymity;RGR;0.4;0.0;0.05;5;30162;9;0.0833363583;1274.0;4.0;1.326172E-4;0.0012723471;0.0012621692;10.0
Adult;Loss;5-anonymity;RGR;0.5;0.0;0.05;5;30162;9;0.0731302848;1600.0;6.0;1.989258E-4;0.0011895015;0.0011742198;12.0
Adult;Loss;5-anonymity;RGR;0.6;0.0;0.05;5;30162;9;0.0695777213;1741.0;3.0;9.94629E-5;0.0011038057;0.0010961559;16.0
Adult;Loss;5-anonymity;RGR;0.7;0.0;0.05;5;30162;9;0.0661338295;2171.0;1.0;3.31543E-5;0.0012221902;0.001219663;21.0
Adult;Loss;5-anonymity;RGR;0.8;0.0;0.05;5;30162;9;0.0618258514;3002.0;0.0;0.0;0.001094708;0.001094708;30.0
Adult;Loss;5-anonymity;RGR;0.9;0.0;0.05;5;30162;9;0.0567582042;5581.0;2.0;6.63086E-5;9.522045E-4;9.470363E-4;57.0
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;30162;9;0.0540518271;9754.0;4.0;1.326172E-4;9.272266E-4;9.168787E-4;96.0
Adult;Loss;5-anonymity;RGR;0.99999;0.0;0.05;5;30162;9;0.0517274163;58575.0;4.0;1.326172E-4;0.0010457917;0.0010354722;487.0
Cup;Loss;5-anonymity;RGR;0.0;0.0;0.05;5;63441;8;0.7776985289;246.0;0.0;0.0;0.0;0.0;1.0
Cup;Loss;5-anonymity;RGR;0.001;0.0;0.05;5;63441;8;0.3947113048;3558.0;0.0;0.0;3.0174E-6;3.0174E-6;2.0
Cup;Loss;5-anonymity;RGR;0.01;0.0;0.05;5;63441;8;0.2284388336;7292.0;0.0;0.0;9.96627E-5;9.96627E-5;3.0
Cup;Loss;5-anonymity;RGR;0.025;0.0;0.05;5;63441;8;0.1596383086;8453.0;0.0;0.0;2.7014E-6;2.7014E-6;3.0
Cup;Loss;5-anonymity;RGR;0.05;0.0;0.05;5;63441;8;0.1153231017;8406.0;5.0;7.88134E-5;1.32508E-5;1.2171E-5;4.0
Cup;Loss;5-anonymity;RGR;0.075;0.0;0.05;5;63441;8;0.1070414527;8138.0;1.0;1.57627E-5;1.661195E-4;1.659156E-4;5.0
Cup;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;63441;8;0.1058127616;8424.0;3.0;4.7288E-5;1.745713E-4;1.73962E-4;5.0
Cup;Loss;5-anonymity;RGR;0.125;0.0;0.05;5;63441;8;0.0983053778;9379.0;0.0;0.0;2.753484E-4;2.753484E-4;5.0
Cup;Loss;5-anonymity;RGR;0.15;0.0;0.05;5;63441;8;0.0973725258;9507.0;2.0;3.15254E-5;2.819783E-4;2.815918E-4;6.0
Cup;Loss;5-anonymity;RGR;0.175;0.0;0.05;5;63441;8;0.0960373666;9775.0;4.0;6.30507E-5;2.72929E-4;2.721523E-4;6.0
Cup;Loss;5-anonymity;RGR;0.2;0.0;0.05;5;63441;8;0.0945010716;9440.0;2.0;3.15254E-5;4.105793E-4;4.102153E-4;7.0
Cup;Loss;5-anonymity;RGR;0.3;0.0;0.05;5;63441;8;0.0872289735;9804.0;1.0;1.57627E-5;4.310546E-4;4.308582E-4;9.0
